spx_ticker
MSFT
AAPL
AMZN
FB
BRK.B
JPM
GOOG
GOOGL
JNJ
V
PG
XOM
T
BAC
DIS
UNH
MA
VZ
INTC
HD
MRK
CVX
WFC
PFE
KO
CMCSA
PEP
BA
CSCO
WMT
C
ABT
MDT
MCD
ADBE
AMGN
BMY
CRM
NFLX
COST
ABBV
PM
NVDA
ACN
TMO
HON
PYPL
AVGO
UNP
ORCL
NKE
IBM
UTX
NEE
TXN
LIN
SBUX
LLY
CVS
MMM
LMT
GE
AMT
DHR
QCOM
MO
LOW
USB
GILD
FIS
BKNG
UPS
AXP
CAT
MDLZ
CHTR
CI
ANTM
ADP
CME
TJX
GS
BDX
CB
D
PNC
COP
ISRG
INTU
SPGI
SYK
SO
FISV
DUK
TGT
MS
AGN
BSX
RTN
CL
VRTX
PLD
BLK
SCHW
ZTS
CSX
CCI
MMC
NOC
BIIB
GPN
ICE
DE
AMAT
EW
MU
NOW
ITW
PSX
APD
SLB
NSC
EQIX
AON
KMB
SHW
DD
ILMN
COF
HUM
ECL
SPG
AEP
EMR
GM
WBA
AIG
WM
EL
LHX
EXC
AMD
ADI
BAX
SYY
BK
PGR
GD
EOG
ROST
ATVI
BBT
SRE
MPC
DG
DOW
AFL
MET
ADSK
VLO
ETN
MAR
LRCX
KMI
HCA
MCO
FDX
PRU
ALL
ROP
TRV
F
CTSH
OXY
WELL
ORLY
JCI
XEL
DAL
NEM
GIS
PSA
IR
STZ
APH
TEL
PPG
STI
YUM
ZBH
AVB
HLT
HPQ
EA
PEG
REGN
EQR
OKE
INFO
ED
TROW
VFC
AZO
CMI
TDG
WEC
STT
EBAY
PCAR
MSI
LUV
PAYX
ES
WMB
DFS
SBAC
IQV
MCK
FLT
TSN
FE
ALXN
KLAC
EIX
PH
A
PPL
WLTW
TMUS
CNC
DLR
ADM
O
VRSK
APTV
LYB
ETR
MNST
TWTR
SWK
SYF
DTE
NTRS
ROK
XLNX
MCHP
CERN
HSY
KR
AWK
MTB
WY
GLW
HIG
PXD
AME
BLL
MSCI
IDXX
FITB
VTR
RMD
AMP
LVS
CTAS
ANSS
DLTR
FTV
MKC
CMG
HPE
RCL
ESS
SNPS
ALGN
FAST
BXP
CDW
VRSN
UAL
KEYS
KHC
CBRE
KEY
CLX
VMC
RSG
DHI
HAL
CTVA
FRC
CDNS
BBY
MTD
AEE
IP
ARE
CMS
CPRT
CCL
CFG
CHD
OMC
AJG
SWKS
NUE
PEAK
LH
INCY
MLM
LEN
RF
MGM
AMCR
EFX
K
TFX
CAH
FCX
WCG
DOV
KMX
CINF
HES
HBAN
MXIM
COO
MAA
CE
GPC
WAT
KSU
IFF
EVRG
MKTX
CXO
FTNT
EXPE
NLOK
BKR
DRI
TIF
CAG
AKAM
DGX
NTAP
ULTA
IT
GWW
HOLX
WAB
BR
GRMN
UDR
WDC
STX
CTL
PFG
CTXS
TTWO
EXR
XYL
ABC
CBOE
VIAC
MAS
FANG
XRAY
HST
NVR
FMC
L
VAR
DRE
EXPD
LNT
AES
FOXA
ATO
QRVO
BF.B
CNP
HRL
LW
NDAQ
LDOS
SJM
SIVB
IEX
ARNC
JEC
URI
NCLH
JKHY
UHS
HAS
WYNN
TSCO
ALLE
WU
LNC
RJF
AAP
AVY
AAL
LKQ
REG
RE
ANET
HII
CMA
PKG
CHRW
EMN
DISCK
HSIC
TXT
ETFC
VNO
GL
PKI
PHM
WRK
NBL
NRG
WRB
NI
MRO
CF
PNW
MYL
TAP
JBHT
DXC
IRM
FRT
DVN
WHR
KIM
SNA
FBHS
ABMD
ZION
NOV
BWA
FFIV
VIAB
IPG
JNPR
ALK
CPB
MHK
DISH
FTI
AIZ
AIV
HFC
BEN
PNR
TPR
KSS
PVH
NWL
XRX
SLG
FLIR
APA
PRGO
NLSN
COG
RHI
ALB
LEG
DVA
IVZ
PBCT
AOS
MOS
UNM
FLS
SEE
PWR
HOG
RL
CPRI
FOX
HBI
IPGP
DISCA
ROL
NWSA
XEC
HRB
M
HP
ADS
AMG
LB
JWN
COTY
GPS
UAA
UA
TRIP
MAC
NWS
